description,phoneName,price
Unique Men’s Luxury Watch Stainless Steel Formal Quartz Wristwatch,Unique,"₦ 2,100"
"Nuu Mobile A4L+, 16GB, 4G LTE Dual SIM, Android 7.0 Smartphone, 5MP Camera",Nuu,"₦ 15,999"
KQRAS Men's Watches Waterproof Wristwatches LED Back Light - Black,KQRAS,₦ 990
"Nokia C1 5.45"" 1GB 16GB Android 9.0 Pie 5+5 Mp 2500 MAh - Charcoal",Nokia,"₦ 27,300"
V8 Super Speed Big Men's Waterproof Military Watches- Black,V8,"₦ 2,480"
"UMIDIGI A9 Pro Infrared Temperature Sensor (48MP+16MP+5MP+5MP) +24MP 6.3-Inch (6GB,128GB ROM) Android 10 Smartphone-Forest Green",UMIDIGI,"₦ 69,500"
Fngeen Blue Face Double Calendar Business Waterproof Quartz Watch,Fngeen,"₦ 3,900"
Quartz Military Army LED Analog Stainless Steel Wrist Watch,Quartz,"₦ 5,950"
Fngeen Black Business Waterproof Double Calendar Quartz Men's Watch,Fngeen,"₦ 3,900"
Geneva Full Steel Unisex Wristwatch - Gold/ Blue,Geneva,"₦ 2,999"
2 In 1 Luxury Watch & Beads Bracelet Set,2,"₦ 4,500"
Skmei Luxury Mens Sports Watches Dive 50m Digital LED Military Watch Men Fashion Casual Electronics Wristwatches,Skmei,"₦ 2,398"
